"Choose", "Vali"
"Home", "Esileht"
"Contact", "Võta ühendust"
"Sign up", "Registreeri"
"Login", "Sisene"
"My account", "Töölaud"
"Logout", "Logi välja"
"Wishlist", "Soovikorv"
"%s item","%s toode"
"%s items", "%s toodet"
"More info", "Rohkem infot"
"More Info", "Rohkem infot"
"Showing %s/%s products", "Kuvatakse %s/%s tootest"
"Filtered options", "Filtrid"
"Do not forget", "Ära unusta"
"Write a review of this product", "Kirjuta arvustus antud tootele"
"Hide review form", "Peida arvustuse vorm"
"%s star", "%s täht"
"%s stars", "%s tähte"
"%s wrote:", "%s kirjutas:"
"Posted on %s", "Positatud %s"
"by", ""
"Of which Tax", "Millest käibemaks"
"Clear All", "Puhasta kõik"
"Staff picks", "Soovitame"
"Add to Cart", "Osta"
"My Wishlist (%d items)", "Soovikorv <span>(%d) toodet</span>"
"My Wishlist (%d item)", "Soovikorv <span>(%d) toode</span>"
"Create account", "Loo konto"
"Viewing %s/%s item.", "Kuvatakse %s/%s toode."
"Viewing %s/%s items.", "Kuvatakse %s/%s toodet."
"Go to shopping cart", "Mine ostukorvi."
"Contact Us", "Võta ühendust"
"Send us an email", "Saada meile e-kiri"
"View Details", "Näita lisainfot"
"Options Details", "Valikud"
"Choose grade", "Vali hinne"
"mandatory", "kohustuslik"
"%s and above", "%s ja suurem"
"Your order has been received.","Teie tellimus on vastu võetud!"
"Newsletter Subscriptions", "Uudiskiri"
"Search", "Otsing"
"Category Menu", "Kategooriad"
"Customer Service", "Klienditeenindus"
"Sitemaps & Advanced Search", "Saidikaart & täpsem otsing"
"Product Details and Comment", "Info"
"Add to Cart From Wishlist", "Lisa soovikorvist ostukorvi"
"Identifying...","Tuvastame..."
"Cart","Ostukorv"
"Your Name","Sinu nimi"
"Account Info","Konto info"
"Addresses","Aadressid"
"Zip/Postal Code","Postiindeks"
