"Choose", "Valitse"
"Home", "Koti"
"Contact", "Ota yhteyttä"
"Sign up", "Rekisteröidy"
"Login", "Kirjaudu sisään"
"My account", "Asiakastili"
"Logout", "Kirjaudu ulos"
"Wishlist", "Toivelista"
"%s items", "%s tuotetta"
"More info", "Lisää tietoa"
"More Info", "Lisää tietoa"
"Showing %s/%s products", "Näytetään %s/%s tuotteista"
"Filtered options", "Suodatinasetukset"
"Do not forget", "Älä unohda"
"Write a review of this product", "Kirjoita arvostelu tälle tuotteelle"
"Hide review form", "Piilota arvostelulomake"
"%s star", "%s tähti"
"%s stars", "%s tähteä"
"%s wrote:", "%s kirjoitti:"
"Posted on %s", "Julkaistu %s"
"by", ""
"Of which Tax", "Josta veroa"
"Clear All", "Tyhjennä kaikki"
"Staff picks", "Henkilökunta suosittelee"
"Add to Cart", "Osta"
"My Wishlist (%d items)", "Toivelista <span>(%d) tuotetta</span>"
"My Wishlist (%d item)", "Toivelista <span>(%d) tuote</span>"
"Create account", "Luo tili"
"Viewing %s/%s item.", "Näytetään %s/%s tuote."
"Viewing %s/%s items.", "Näytetään %s/%s tuotetta."
"Go to shopping cart", "Ostoskoriin."
"Contact Us", "Ota yhteyttä"
"Send us an email", "Lähetä meille e-mailia"
"View Details", "Näytä lisätiedot"
"Options Details", "Valinnat"
"Choose grade", "Valitse laatu"
"mandatory", "pakollinen"
"%s and above", "%s ja yli"
"Your order has been received.","Kiitos tilauksestanne!"
"Newsletter Subscriptions", "Uutiskirje"
"Search", "Haku"
"Category Menu", "Kategoriat"
"Customer Service", "Asiakaspalvelu"
"Sitemaps & Advanced Search", "Sivukartat & kehittynyt haku"
"Product Details and Comment", "Tiedot"
"Add to Cart From Wishlist", "Lisää ostoskoriin toivelistalta"
