"Choose", "Välj"
"Home", "Hem"
"Contact", "Kontakta oss"
"Sign up", "Skapa konto"
"Login", "Logga in"
"My account", "Mitt konto"
"Logout", "Logga ut"
"Wishlist", "Önskelista"
"%s items", "%s artiklar"
"More info", "Mer info"
"More Info", "Mer info"
"Showing %s/%s products", "Visar %s/%s varor"
"Filtered options", "Filtrerade val"
"Do not forget", "Glöm inte"
"More info", "Mer info"
"Write a review of this product", "Skriv en recension av den här produkten"
"Hide review form", "Dölj recensions-formuläret"
"%s star", "%s stjärna"
"%s stars", "%s stjärnor"
"%s wrote:", "%s skrev:"
"Posted on %s", "Skrevs den %s"
"by", "av"
"Of which Tax", "Varav moms"
"Clear All", "Rensa alla"
"Staff picks", "Våra favoriter"
"Add to Cart", "Köp"
"My Wishlist (%d items)", "Önskelista <span>(%d) artiklar</span>"
"My Wishlist (%d item)", "Önskelista <span>(%d) artikel</span>"
"Create account", "Skapa konto"
"Viewing %s/%s item.", "Visar %s/%s artikel."
"Viewing %s/%s items.", "Visar %s/%s artiklar."
"Go to shopping cart", "Gå till varukorgen."
"Contact Us", "Kontakta oss"
"Send us an email", "Skicka ett mail till oss"
"View Details", "Se detaljer"
"Options Details", "Val"
"Choose grade", "Välj betyg"
"mandatory", "obligatoriskt"
"%s and above", "%s och högre"
"Your order has been received.","Tack för din order!"
"Newsletter Subscriptions", "Nyhetsbrev"
"Search", "Sök"
"Category Menu", "Kategorier"
"Customer Service", "Kundtjänst"
"Sitemaps & Advanced Search", "Sidkartor & avancerad sök"
"Product Details and Comment", "Information"
"Add to Cart From Wishlist", "Hantera"
"Identifying...","Identifierar..."
"Cart","Varukorg"
"%s item","%s artikel"
"Your Name","Ditt namn"
"Account Info","Kontouppgifter"
"Addresses","Adressuppgifter"
"Zip/Postal Code","Postnummer"
