"PDF Customiser by FOOMAN","Customisador PDF per FOOMAN"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Escriu els teus comentaris personalitzats aquí para que apareguin al final de la factura. Podríes per exemple incluir els detalls bancaris i terms de pago."
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Escriu els teus comentaris personalitzats aquí para que apareguin al final de la fulla del credit/memo."
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Escriu els teus comentaris personalitzats aquí para que apareguin al final de la fulla amb els detalls d'envio."
"Bottom Margin","Marge inferior"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Escull Helvetica, Times o Courier para tamanys d'archiu mes petits. Escull els variants Dejavu per sopportar mes càracters (UTF-8)."
"Credit Memo Title","Títol del memo de crèdit."
"Custom Text","Text customitzat"
"Font","Font"
"Font Size","Tamany de font"
"Invoice Title","Títol de la Factura"
"Logo for the PDF Print-outs","Logo per als impresos de PDF"
"Page Size","Tamany de pàgina"
"Shipment Title","Títol del archiu de envio"
"Side Margins","Marge lateral"
"Store Address","Adreça de la botiga"
"Tax Details","Detalls d'impostos"
"Top Margin","Marge superior"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Quines adreçes deberan apareixer en el memo del credit? Si us plau noteu que els encarrecs de productes descarregables no tenen adreça d'envio."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Quines adreçes deberan apareixer en factura? Si us plau noteu que els encarrecs de productes descarregables no tenen adreça d'envio."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Quines adreçes deberan apareixer en el full de productes inclosos? Si us plau noteu que els encarrecs de productes descarregables no tenen adreça d'envio"
"A4","Tamany fulla A4"
"letter","Carta"
"Billing Address only","Adreça de cobro únicament"
"Shipping Address only","Adreça de envio únicament"
"Both Addresses","Les dos adreçes"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign PDF","Signa digitalment el PDF"
"Signature","Signatura"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Cópia els contents del teu arxiu de certificat/signatura incluyent la teva clau privada aquí. Inclou tot desde -----BEGIN RSA PRIVATE KEY----- fins -----END CERTIFICATE-----"
"Password of Signature","Contrasenya de la signatura"
"Display Base and Order Currency","Display Base and Order Currency"
"Delivery Date","Delivery Date"
"Display Delivery Date","Display Delivery Date"
"Displays the date of the invoice again. Needed in some jurisdictions.","Displays the date of the invoice again. Needed in some jurisdictions."
"Print Order History with Comments","Print Order History with Comments"
