"PDF Customiser by Fooman","PDF Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Tilføj dine egne kommentarer som skal fremgå i bunden af fakturaer. Eksempelvis bank konto nr. og betalingsbetingelser."
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Tilføj din egen kommentar til bunden af kreditnotaer"
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Tilføj dine egne kommentarer som skal fremgå i bunden af følgesedler"
"Bottom Margin","Bund margen"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Vælg Helvetica, Times eller Courier for at få mindre filstørrelser. Vælg Dejavu-Varianter for at undstøtte flere tegnsæt (UTF-8)."
"Credit Memo Title","Credit Memo Title"
"Custom Text","Egen tekst"
"Font","Font"
"Font Size","Font størrelse"
"Invoice Title","Titel på faktura"
"Logo for the PDF Print-outs","Logo til PDF udskrifter"
"Page Size","Side størrelse"
"Shipment Title","Titel på følgeseddel"
"Side Margins","Side marginer"
"Store Address","Forretnings adresse"
"Tax Details","SE/CVR nr"
"Top Margin","Top margen"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på kreditnotaer? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på fakturaer? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på følgesedler? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"A4","A4"
"letter","letter"
"Billing Address only","Kun betaler adresse"
"Shipping Address only","Kun forsendelses adresse"
"Both Addresses","Begge adresser"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign PDF","Underskriv PDF digitalt"
"Signature","Underskrift"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopier indholdet af dit certifikat/signatur fil inklusiv din private nøgle her. Inkluder alt fra -----BEGIN RSA PRIVATE KEY----- til -----END CERTIFICATE-----"
"Password of Signature","Signatur password"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på ordren? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"Add your custom comments here to appear at the bottom of the Order Print-out.","Tilføj din egen kommentar til bunden af ordrer"
"Order Title","Ordre titel"
"Display","Vis"
"None","Intet"
"Product Image","Produkt billede"
"SKU Barcode","Varenummer stregkode"
"Display Quantity as full number","Display Quantity as full number"
"US","US"
"European","European"
"Customer Address Format","Customer Address Format"
"Display Base and Order Currency","Display Base and Order Currency"
"Delivery Date","Delivery Date"
"Display Delivery Date","Display Delivery Date"
"Displays the date of the invoice again. Needed in some jurisdictions.","Displays the date of the invoice again. Needed in some jurisdictions."
"Print Order History with Comments","Print Order History with Comments"
"Article Number","Artikel nummer"
"QTY","Antal"
