"PDF Customiser by Fooman","PDF Konfigurator von Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Fügen Sie hier einen Kommentar hinzu der unten auf der Rechung erscheint. Zum Beispiel können Sie hier Ihre Bankangaben machen oder Zahlungsmodalitäten angeben."
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Fügen Sie hier einen Kommentar hinzu der unten auf der Gutschrift erscheint."
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Fügen Sie hier einen Kommentar hinzu der unten auf dem Packzettel erscheint."
"Bottom Margin","unterer Seitenrand"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Wählen Sie Helvetica, Times oder Courier für kleinere Dateigrößen. Wählen Sie die Dejavu-Varianten für bessere Schriftzeichenunterstützung (UTF-8)."
"Credit Memo Title","Überschrift Gutschrift "
"Custom Text","Kommentar"
"Font","Schriftart"
"Font Size","Schriftgröße"
"Invoice Title","Überschrift Rechung"
"Logo for the PDF Print-outs","Logo für PDF Ausdrucke"
"Page Size","Seitengröße"
"Shipment Title","Überschrift Packzettel"
"Side Margins","Seitenränder"
"Store Address","Shop Adresse"
"Tax Details","Steuernummer"
"Top Margin","oberer Seitenrand"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf der Gutschrift erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf der Rechnung erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf dem Packzettel erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"A4","A4"
"letter","Brief"
"Billing Address only","nur Rechnungsadresse"
"Shipping Address only","nur Lieferadresse"
"Both Addresses","beide Adressen"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign PDF","PDF digital unterschreiben"
"Signature","Unterschrift"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopieren Sie den Inhalt Ihres Zertifikats bzw. Ihrer Unterschrift inklusive des privaten Schlüssels. Fügen Sie alles von -----BEGIN RSA PRIVATE KEY----- bis -----END CERTIFICATE----- ein"
"Password of Signature","Passwort für Unterschrift"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Print-out.","Fügen Sie hier einen Kommentar hinzu der unten auf der Bestellbestätigung erscheint."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Welche Adressen sollen auf der Bestellbestätigung erscheinen? Hinweis: Bestellungen von Downloadprodukten haben keine Lieferadresse."
"Display","Zeige"
"None","Nichts"
"Product Image","Produktbild"
"SKU Barcode","Barcode Artikelnummer"
"Display Quantity as full number","Zeige Anzahl als ganze Zahl"
"US","US"
"European","Europäisch"
"Customer Address Format","Formatierung Kundenaddresse"
"Display Base and Order Currency","Zeige Bestell- und Basiswährung"
"Delivery Date","Liefer/Leistungsdatum"
"Display Delivery Date","Zeige Liefer/Leistungsdatum"
"Displays the date of the invoice again. Needed in some jurisdictions.","Zeigt das Rechnungsdatum nochmals als Liefer/Leistungsdatum an."
"Print Order History with Comments","Drucke Kommentare und Bestellgeschichte"
