"Block for '%s' in '%s' column","Block for '%s' in '%s' column"
"<p>No content</p><p>CMS Block added by Content Manager.</p>","<p>No content</p><p>CMS Block added by Content Manager.</p>"
"Page Type","Page Type"
"New ","New "
"Save Structure","Save Structure"
"Cancel","Cancel"
"Add CMS Static Block","Add CMS Static Block"
"Add Widget","Add Widget"
"Edit Structure","Edit Structure"
"Configure","Configure"
"Remove","Remove"
"[X] Exit Edit & Preview Mode","[X] Exit Edit & Preview Mode"
"Product Category","Product Category"
"Content","Content"
"Content Configuration","Content Configuration"
"Edit & Preview","Edit & Preview"
"Saving Structure","Saving Structure"
"Saving Widget","Saving Widget"
"Widget created by Vaimo_Cms","Widget created by Vaimo_Cms"
"You are currently editing a structure. All changes you have made will be lost.","You are currently editing a structure. All changes you have made will be lost."
"You are currently editing a CMS Block. All changes you have made will be lost.","You are currently editing a CMS Block. All changes you have made will be lost."
"Saving Content","Saving Content"
"Publishing Draft","Publishing Draft"
"Discarding Draft","Discarding Draft"
