"PDF Customiser by Fooman","PDF Customiser realizzato da Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Aggiungi i tuoi commenti che verranno mostrati in fondo alla fattura. Da usare per inserire le coordinate bancarie o i termini di pagamento."
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Aggiungi i tuoi commenti che verranno mostrati in fondo alla nota di credito"
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Aggiungi i tuoi commenti che verranno mostrati in fondo alla bolla di spedizione"
"Bottom Margin","Margine Inferiore"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Scegli i font Helvetica, Times o Courier per generare PDF di dimensioni minori. Usa Dejavu-Variants per supportare il set UTF-8."
"Credit Memo Title","Intestazione nota di credito"
"Custom Text","Testo Opzionale"
"Font","Font"
"Font Size","Dimensione Font"
"Invoice Title","Intestazione fattura"
"Logo for the PDF Print-outs","Logo da usare nelle stampe"
"Page Size","Dimensioni Pagina"
"Shipment Title","Titolo bolla spedizione"
"Side Margins","Margini Laterali"
"Store Address","Indirizzo del negozio"
"Tax Details","Dettagli Imposte"
"Top Margin","Margine Superiore"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Quale indirizzo deve apparire sulla nota di credito? Ricordati che i downloadable product non possono avere un indirizzo di spedizione."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the invoice? Ricordati che i downloadable product non possono avere un indirizzo di spedizione."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the packing slip? Ricordati che i downloadable product non possono avere un indirizzo di spedizione."
"A4","A4"
"letter","letter"
"Billing Address only","Indirizzo di fatturazione"
"Shipping Address only","Indirizzo per la consegna"
"Both Addresses","Entrambi gli indirizzi"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign PDF","Digitally Sign PDF"
"Signature","Signature"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----"
"Password of Signature","Password of Signature"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Print-out.","Add your custom comments here to appear at the bottom of the Order Print-out."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address."
"Display","Display"
"None","None"
"Product Image","Product Image"
"SKU Barcode","SKU Barcode"
"Display Quantity as full number","Display Quantity as full number"
"US","US"
"European","European"
"Customer Address Format","Customer Address Format"
"Display Base and Order Currency","Display Base and Order Currency"
"Delivery Date","Delivery Date"
"Display Delivery Date","Display Delivery Date"
"Displays the date of the invoice again. Needed in some jurisdictions.","Displays the date of the invoice again. Needed in some jurisdictions."
"Print Order History with Comments","Print Order History with Comments"
