"Slideshow Manager", "Slideshow Manager"
"Manage slideshows", "Behandle slideshow"
"Add Slideshow", "Legg slideshow"
"Enter the slideshow information below", "Angi detaljene til slideshow nedenfor"
"Name", "Navn"
"Status", "Status"
"Position", "Posisjon"
"Save", "Lagre"
"Delete", "Fjern"
"Active", "Aktive"
"Not Active", "Inaktive"
"Your slideshow has been saved successfully", "Slideshow ble lagret"
"Your slideshow has been updated successfully.", "Slideshow ble oppdatert"
"Your slideshows has been updated successfully.", "Slideshows ble oppdatert"
"Enable", "Aktiver"
"Disable", "Deaktiver"
"Update position", "Oppdater posisjon"
"Please select one or more items.", "Velg ett eller flere alternativer."
"Are you sure?", "Er du sikker?"
"Edit slideshow: ", "Edit slideshow: "
"Images in this slideshow", "Bilder i denne slideshow"
"Image", "Bild"
"There are no saved slideshows.", "Det finnes ingen lagrede slideshows"
"There are no saved images in this slideshow.", "Det finnes ingen lagrede bilder til denne slideshow."
"Add image in slideshow: ", "Legg til et bilde slideshow:"
"Title", "Tittel"
"Alt-text", "Alt-text"
"Link", "Link"
"Link target", "Åpne link i"
"Same window", "Samme vindu"
"New window", "Nytt vindu"
"Enter the image information below", "Angi informasjon om bildet nedenfor"
"Your image has been saved successfully.", "Ditt bilde ble lagret"
"Edit image: ", "Rediger bildet: "
"Your images has been updated successfully.", "Dine bilder har blitt oppdatert"
"Here is a list of all saved slideshows", "Dette viser alle de lagrede slideshow"
"Your image has been deleted successfully.", "Ditt bilde ble fjernet"
"Your slideshow has been deleted successfully.", "Slideshow ble fjernet"
"Select All", "Velg alle"
"Unselect All", "Fjern alle"
"Existing image", "Eksisterende bilde"
"Choose new image", "Velg et nytt bilde"
"Edit the image information below", "Angi detaljene i bildet nedenfor"
"Slideshow information", "Bildefremvisning detaljer"
"ID", "ID"
"There are no items that can me updated.", "Det er ingen poster å oppdatere."
"Image text", "Bildetekst"
