"unread message(s).", "oläst(a) meddelande(n)."
"Go to messages inbox", "Gå till inkorgen"
"Read more", "Läs mer"
"here", "här"
"Mark as Unread", "Markera som oläst"
"Mark as Read", "Markera som läst"
"critical", "kritisk"
"major", "mycket viktigt"
"minor", "viktigt"
"notice", "meddelande"
"severity", "Risknivå"
"News", "Nyheter"
"Delete", "Ta bort"
"Messages inbox", "Meddelandeinkorg"
"Top 10 modules", "Topp 10 moduler"
"Installed modules", "Installerade moduler"
"Latest modules", "Senaste moduler"
"Current version: ", "Nuvarande version: "
"In this view you can see all your messages from us. <br />By clicking on the subject line, you can expand / fold your message.", "I denna vy kan du se alla dina meddelande från oss. <br />Genom att klicka på ämnesraden kan du expandera/fälla ihop ditt meddelande."
"Your message has been marked as read.", "Ditt meddelande har markerats som läst."
"Your message has been marked as unread.", "Ditt meddelande har markerats som oläst."
"Your message has been deleted.", "Ditt meddelande har tagits bort."
"  and  ", " och "
"My Support Tickets", "Mina supportärenden"
"No tickets were found for this account.<br />If you have mailed in from a different email address than the one you use to log into Magento, please contact us at <a href='mailto:support@icommerce.se'>support@icommerce.se</a>.", "Inga ärenden hittades för det här kontot.<br />Om du har mailat in från en annan e-postadress än den du använder för att logga in i Magento, kontakta oss då på <a href='mailto:support@icommerce.se'>support@icommerce.se</a>."
"In this view you can see all of your support tickets. <br />By clicking on the subject line, you can expand / fold your message.", "I denna vy kan du se alla dina supportärenden. <br />Genom att klicka på ämnesraden kan du expandera/fälla ihop ditt meddelande."
"Created By", "Skapad av"
"My Checklists", "Mina checklistor"
"Project Manager", "Projektledare"
"Active", "Akitv"
"Not Active", "Inaktiv"
"Add comment", "Lägg kommentar"
"Show comment", "Visa kommentar"
"Send", "Skicka"
"Your comment has been send and saved.", "Din kommentar har skickats och sparats."
"There were nothing to save.", "Det fanns inget att spara."
"By: ", "Av: "
"Date: ", "Datum: "
"Comment: ", "Kommentar: "
"NOT OK", "EJ OK"
"Estimate: ", "Estimat: "
"Subject: ", "Ämne: "
"Yes, I accept the estimate", "Ja, jag godkänner estimatet"
"Comment Id: ", "Kommentar id: "
"Approved by: ", "Godkänt av: "
"Your checklist has been send and saved.", "Din checklista har sparats och skickats."
"Save and send", "Spara och skicka"
"Overview Checklist", "Översikt av checklistan"
"Your checklist has been saved.", "Din checklista har sparats."
"OE", "Ö"
