"No rates where found.", "Inga frakter hittades."
"In this view you can see all of your shipping rates.", "I denna vy listas alla dina Matrix Rates frakter."
"Condition To", "Villkor t.o.m."
"Condition From", "Villkor fr.o.m."
"Web Site", "Webbplats"
"Postal Code From", "Postnr fr.o.m."
"Postal Code To", "Postnr t.o.m."
"This name will be displayed in the checkout", "Detta namn kommer att synas i kassan"
"Weight vs. Destination","Vikt kontra destination"
"Price vs. Destination","Pris kontra destination"
"# of Items vs. Destination","Antal artiklar kontra destination"
"Enter the rate information below", "Ange fraktinformationen nedan"
"Add Rate", "Lägg till frakt"
"Your rate has been deleted.", "Frakten har tagits bort."
"Your rate has been added.", "Din frakt har lagts till."
"<p>You can find 'Worldwide' at the top of the list</p>","<p>Du hittar 'Worldwide' längst upp i listan</p>"
"Edit Rate: '%s'", "Ändra fraktvillkor: '%s'"
"Update the rate information below", "Uppdatera fraktens information nedan"
"Your rate has been updated successfully.","Din frakt har uppdaterats utan problem."
"Description will be displayed in the checkout.", "Den här beskrivningen kommer visas i kassan."
"Method Name", "Fraktens titel"
"Manage Shipping Rates", "Hantera frakter"
"Country", "Land"
"Price", "Pris"
"Add", "Lägg till"
"Delete", "Ta bort"
"Shipping Destination", "Frakt destination"
"Shipping Conditions", "Fraktvillkor"
"Shipping Details", "Fraktdetaljer"
"Save", "Spara"
"<p>Leave field empty if not used. Don't enter: 0</p>", "<p>Lämna fältet tomt om det inte används. Ange inte: 0</p>"
"<p>The title of the shipping rate. Is displayed in the checkout page.</p>", "<p>Fraktens titel som visas i kassan.</p>"
"<p>Is displayed in the checkout page, depending on theme.</p>", "<p>Visas i kassan beorende på tema.</p>"
"Rate Information", "Fraktinformation"
"General", "Generellt"
"The rate has been saved.", "Villkoret har sparats."
"The rate has been deleted.", "Villkoret har tagits bort."
"Shipping Code", "Fraktkod"
"<p>Only used internally if needed.</p>", "<p>Används internt om fraktkod behövs.</p>"
"Show cost field", "Visa fält för kostnad"
"Show shipping cost field in matrix rates grid and edit form", "Visa fraktkostnadsfält i matrix rates lista och formulär i admin."
"Show logo field", "Visa fält för att ladda upp logo"
"Show logo field in edit form", "Visa fält för att ladda upp logo i admin."
"Settings", "Inställningar"
"Is displayed in the checkout page (depending on theme).", "Visas i kassan (beroende på theme)"
"The rate has been deleted.", "Fraktposten har raderats."
