"Ordernr: ","Beställningsnr: "
"Date","Datum"
"SOLD TO:","SÅLDES TILL:"
"SHIP TO:","LEVERERA TILL:"
"Payment Method","Betalningssätt"
"Shipping Method","Leveranssätt"
"Product","Produkt"
"Article Number","Artikelnummer"
"Price","Pris"
"QTY","Antal"
"Tax","Moms"
"Sub Total","Summa<br/>(ex.moms)"
"Order Subtotal:","Mellansumma för beställning:"
"Shipping & Handling:", "Leverans:"
"Discount:","Rabatt:"
"Grand Total:","Totalsumma:"
"PDF Customiser by Fooman","PDF Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Lägg till dina kommentarer här. Dessa kommer att synas i botten av fakturalayouten. Du kan tex ange bankgiro och betalningsvillkor."
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Lägg till dina egna kommentarer här. De kommer att synas i botten på kreditfakturamallen"
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Lägg till dina egna kommentarer här. De kommer att synas i botten på följesedelsmallen"
"Bottom Margin","Nedre marginal"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Välj Helvetica, Times eller Courier för mindre filtyper. Välj Dejavu-Varianterna för att stödja fler tecken (UTF-8)."
"Credit Memo Title","Kreditfakturarubrik"
"Custom Text","Anpassad text"
"Font","Font"
"Font Size","Font storlek"
"Invoice Title","Fakturarubrik"
"Logo for the PDF Print-outs","Logotyp för PDF-utskrifter"
"Page Size","Sidstorlek"
"Shipment Title","Utleveransrubrik"
"Side Margins","Sidmarginal"
"Store Address","Butiksaddress"
"Tax Details","MomsDetaljer"
"Top Margin","Topmarginal"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på kreditfakturan? Notera att nedladdningsbara produkter ej har leveransadress."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på fakturan? Notera att nedladdningsbara produkter ej har leveransadress."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på plocklistan? Notera att nedladdningsbara produkter ej har leveransadress."
"A4","A4"
"letter","letter"
"Billing Address only","Enbart fakturaadress"
"Shipping Address only","Enbart leveransadress"
"Both Addresses","Båda Addresser"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign PDF","Signera PDF digitalt"
"Signature","Signatur"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopiera innehållet av din/ditt certificat/signatur fil inkl din privata nyckel här. Inkludera all från -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----"
"Password of Signature","Lösenord för signature"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Print-out.","Lägg till dina kommentarer här. Dessa kommer att synas i botten av orderlayouten."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Vilken adress ska synas på ordern? Notera att nedladdningsbara produkter ej har leveransadress."
"Display","Visa"
"None","Ingen"
"Product Image","Produktbild"
"SKU Barcode","Streckkod för art nr."
"Display Quantity as full number","Visa antal som heltal"
"US","USA"
"European","Europeisk"
"Customer Address Format","Anpassat adressformat"
"Display Base and Order Currency","Visa bas- och ordervaluta"
"Delivery Date","Leveransdatum"
"Display Delivery Date","Visa leveransdatum"
"Displays the date of the invoice again. Needed in some jurisdictions.","Visa fakturadatum igen. Krävs enligt vissa länder."
"Print Order History with Comments","Utskriftshistorik med kommentarer"
"Invoice Date","Fakturadatum"
