"Invoice payment is currently unavailable, please use another payment method","Fakturabetalning är för tillfället inte tillgängligt. Vänligen välj ett annat betalsätt."
"QuickCheckout", "Snabbkassa"
"Calculating total sum...", "Räknar ut totalsumma..."
"Loading available shipping methods...", "Laddar tillgängliga fraktsätt..."
"Loading available payment methods...", "Laddar tillgängliga betalsätt..."
"Click here to login", "Klicka här för att logga in"
"Click here to hide login", "Klicka här för att dölja inloggningsformuläret"
"Billing Address", "Fakturaadress"
"Shipping Adress", "Leveransadress"
"Choose Shipping Method", "Välj fraktsätt"
"Choose Payment Method", "Välj betalsätt"

"Expand loginform", "Visa loginfälten direkt"
"Show login fields without toggle functionality.", "Visa loginfälten utan visa/dölj-effekten."
"Separate Shipping address ", "Separat leveransadress"
"Enable if you need separate shipping address.", "Aktiverar separat leveransadress."
"Autofill customer address ", "Populera adressfälten"
"Populate address fields if customer has an address and chooses to add a new address.", "Ladda automatiskt in den förvalda adressen från kundens adressregister (kräver att kunden är inloggad och har en förvald adress sparad)."
"Forgot password?", "Glömt ditt lösenord?"
"Show forgot password link", "Visa glömt lösenords länk i kassan?"
"Show forgot password link in checkout?", "Visa glömt lösenords länk i kassan?"
"Summary", "Summering"
"Enable accept terms popup", "Aktivera visa villkor i popup"
"Shows terms in popup when clicking checkout link.", "Visa köpvillkor i popup när man klickar på länken i kassan."
"At least one of the products is out of stock. See cart for more information.", "Begärt antal av åtminstone en av produkterna finns inte i lager, vänligen se varukorgen för mer information."
