"Slideshow Manager", "Bildspelshanteraren"
"Manage slideshows", "Hantera bildspel"
"Add Slideshow", "Lägg till bildspel"
"Enter the slideshow information below", "Ange informationen om ditt bildspel nedan"
"Name", "Namn"
"Status", "Status"
"Position", "Position"
"Save", "Spara"
"Delete", "Ta bort"
"Active", "Aktiv"
"Not Active", "Inaktiv"
"Your slideshow has been saved successfully", "Ditt bildspel sparades"
"Your slideshow has been updated successfully.", "Ditt bildspel uppdaterades"
"Your slideshows has been updated successfully.", "Dina bildspel uppdaterades"
"Enable", "Aktivera"
"Disable", "Inaktivera"
"Update position", "Uppdatera position"
"Please select one or more items.", "Vänligen välj ett eller flera alternativ."
"Are you sure?", "Är du säker?"
"Edit slideshow: ", "Redigera bildspelet: "
"Images in this slideshow", "Bilder i det här bildspelet"
"Image", "Bild"
"There are no saved slideshows.", "Det finns inga sparade bildspel."
"There are no saved images in this slideshow.", "Det finns inga sparade bilder i det här bildspelet."
"Add image in slideshow: ", "Lägg till en bild i bildspelet: "
"Title", "Titel"
"Alt-text", "Alt-text"
"Link", "Länk"
"Link target", "Öppna länk i"
"Same window", "Samma fönster"
"New window", "Nytt fönster"
"Enter the image information below", "Ange information om din bild nedan"
"Your image has been saved successfully.", "Din bild sparades"
"Edit image: ", "Redigera bilden: "
"Your images has been updated successfully.", "Dina bilder har uppdaterats"
"Here is a list of all saved slideshows", "Här listas alla sparade bildspel"
"Your image has been deleted successfully.", "Din bild togs bort"
"Your slideshow has been deleted successfully.", "Ditt bildspel togs bort"
"Select All", "Välj alla"
"Unselect All", "Avmarkera alla"
"Existing image", "Existerande bild"
"Choose new image", "Välj en ny bild"
"Edit the image information below", "Redigera informationen om din bild nedan"
"Slideshow information", "Bildspelets information"
"ID", "ID"
"There are no items that can me updated.", "Det finns inga poster att uppdatera."
"Image text", "Bildtext"
"Actions", "Åtgärder"
"Edit", "Redigera"
"Enabled", "Aktiv"
"Disabled", "Inaktiv
"Send", "Skicka"
