"Blog","Blogg"
"Posts","Inlägg"
"Comments","Kommentarer"
"Comments:","Kommentarer:"
"Name Of Product Type","Produkttyp"
"Attribute Set Id","Id för attributmängd"
"Add Post","Lägg till nytt inlägg"
"Author","Skrivet av"
"Photo Author","Foto av"
"Publish Date","Publiceringsdatum"
"Settings","Inställningar"
"There are no blog posts in this category.","Det finns inga blogginlägg i den här kategorin"
"Read more","Läs mer"
"Posted","Postat"
"in","i"
"Today","Idag",
"Yesterday","Igår"
"Content","Innehåll"
"Blog Settings","Blogginställningar"
"Module Settings","Modulinställningar"
"For each post in a feed, show","Inlägg i flödet visas som"
"Summary","Sammanfattning"
"Full text","Hela texten"
"Number of characters for summary","Antal tecken för sammanfattning"
"Suffix for summary","Suffix för sammanfattning"
"Activate Related Products","Aktivera relaterade produkter"
"Activate Cross-sells","Aktivera korsförsäljning"
"Activate Up-sells","Aktivera merförsäljning"
"Show Publish Date","Visa publiceringsdatum"
"Sort by Publish Date","Sortera på publiceringsdatum"
"The list with blog posts will be sort by publish date.","Listor med blogginlägg kommer att sortera efter publiceringsdatum."
"Activate Author","Aktivera författare"
"Tags:", "Taggar:"
